postal_code,neighborhood,total_pop,pop_density,diversity_index,avg_hh_income,avg_hh_sz,median_age,bus_estab,no_of_homes,own,rent
85255,DC Ranch Scottsdale,43455,574,26.9,177547,2.42,49.2,1683,21748,13894,4010
85256,Scottsdale,6214,85,57.9,46167,2.82,33.6,67,2528,1672,532
85257,South Scottsdale,30894,5220,62.1,66579,2.21,37.3,559,15298,7517,6321
85258,Scottsdale,25597,2452,24.7,124528,1.94,54.6,1601,16104,9265,3899
85259,McDowell Mountain Preserve,23191,1070,30.8,168837,2.38,48.3,604,10705,7192,2517
85260,Horizons,40487,2688,34,126611,2.15,45.8,3259,20652,10549,8090
85262,Granite Mountain,13377,66,20.8,185398,2.32,59.6,412,8042,5259,507
85263,Rio Verde,2646,72,11.8,136091,1.95,70.1,31,1959,1270,84
85264,Fort Mcdowell,1221,18,58.3,71340,3.28,37.8,17,408,330,42
85266,Desert Foothills,13015,664,20.3,169032,2.43,58.2,261,6640,4926,414
85268,Fort Mcdowell,24851,1119,22.3,114885,2.16,57.5,632,13803,8902,2511
85281,North Tempe,70074,5453,74,47853,2.15,24.2,2255,31443,5416,21935
85282,Brentwood-Cavalier,55096,4902,69.3,66686,2.31,31.6,2052,25287,10145,13415
85283,Tempe,45932,5254,76.3,75063,2.46,32.2,1130,19436,8775,9822
85284,Tempe,19960,2555,46.2,152749,2.69,43.3,1081,7655,5785,1641
85286,Chandler,47820,3044,65.3,118949,2.97,34,705,1641,11093,4984
85295,Gilbert,50222,4008,57.7,107985,3.03,31.6,737,17256,11558,5030
85296,Gilbert,45835,3905,56.4,106025,3.08,33.4,953,15428,11721,3134
85297,Gilbert,36172,3157,55.8,111274,3.29,31,587,11488,8613,2381
85298,Gilbert,37279,2407,48.7,112222,3.03,36.7,379,13206,11315,977
85301,Ocotillo District,63402,6925,86.2,43616,3.09,29.4,936,24301,8329,12061
85302,Barrel District,39357,6616,74.4,60900,2.59,35.4,360,16644,8231,6685
85303,Ocotillo District,37567,6169,87.8,61807,3.53,30.5,222,11649,5764,4833
85304,Barrel District,28718,5101,62.2,78779,2.72,40.2,276,11012,6929,3398
85305,Yucca District Glendale,13494,2172,81.4,83348,2.93,34.4,282,5247,2597,1993
85306,Sahuaro District,24617,4220,55.2,73317,2.72,37.8,518,9378,5558,3233
85307,Glendale,10605,1202,80.9,61178,2.97,31,123,4055,1503,2059
85308,Cholla District,68880,4121,47.6,91903,2.59,39.8,1810,27939,17726,8574
85309,Glendale,795,181,61,0,0,20.7,26,0,0,0
85310,Cholla District,20193,2127,37.7,108565,2.86,40.7,369,7435,6003,1039
85322,Arlington,667,4,80.6,71147,2.95,36.1,10,295,141,85
85323,Avondale,44741,2885,86.6,62575,3.46,29.6,441,14517,7014,5874
85326,Buckeye,63677,143,81.2,72296,3.31,32.5,442,20221,13322,4071
85331,Cave Creek,32737,189,26.2,132425,2.58,48,796,13839,11061,1621
85335,El Mirage,35548,3408,82.9,63612,3.36,29.9,182,12796,7217,3348
85337,Gila Bend,3389,1,88.5,51567,3.22,31.7,44,1361,537,502
85338,Goodyear,54225,343,76.2,84549,3.08,33.9,686,19192,13267,4216
85339,Laveen,44371,360,88.6,86739,3.43,30.2,309,14042,10207,2715
85340,Laveen,31710,1293,71.5,104276,3.15,37.2,394,10830,7591,2454
85342,Morristown,1791,4,52.2,56243,2.44,61,26,919,561,165
85343,Palo Verde,207,69,82.9,72306,3.18,32.3,1,75,37,28
85345,Peoria,63465,4816,74,62208,2.73,34.9,699,25413,15001,8060
85351,Sun City,29608,2738,16.3,48799,1.58,72.9,415,21883,15073,3375
85353,Estrella,37740,1727,85.1,66990,3.75,27.8,319,11130,7048,3023
85354,Tonopah,8125,8,75.9,78860,3.11,35.4,47,3300,1875,736
85355,Waddell,11579,152,63,106731,3.22,35.7,101,3871,3338,256
85361,Wittmann,7516,48,60.8,60703,3.05,42.4,45,2858,1992,473
85363,Youngtown ,7112,5127,73.4,49121,2.59,35.3,85,2911,1329,1325
85373,Sun City,19094,1991,26.9,65564,2.02,66,152,10705,7907,1406
85374,Surprise,42351,2679,48.3,68724,2.27,54.7,690,23186,14614,4032
85375,Sun City West,29165,1811,11.3,67297,1.69,73.8,293,4032,15200,1933
85378,Surprise,9665,2264,73.8,51058,2.61,#N/A,118,4544,2337,1350
85379,Surprise,45823,4005,65.8,85421,3.27,34.6,328,15557,10281,3697
85381,Peoria,26483,4010,51.4,85525,2.6,42,650,10974,6875,3087
85382,Peoria,44262,4590,44,82644,2.43,42,807,19750,12251,5816
85383,Peoria,57653,387,43,129384,3.11,38.3,782,20432,16645,1841
85387,Surprise,12611,175,44.7,80067,2.53,64.7,65,5950,4591,403
85388,Surprise,29313,1574,61.5,85227,3.26,34.6,152,9840,7055,1910
85390,Wickenburg,10110,15,50.4,60830,2.17,56.8,269,5508,3083,1435
85392,Avondale,39346,3964,80.5,82703,3.11,33.2,338,14056,7876,4769
85395,Goodyear,34563,1931,65.7,107852,2.6,43.6,402,13291,9541,2099
85396,Buckeye,22112,102,61.1,95359,2.92,40.1,130,9498,6770,804
